AE_Terms	Flag
Acute kidney injury	0
Acute kidney injury	0
Acute respiratory failure	0
Acute respiratory failure	0
Adverse drug reaction	1
Adverse event	1
Ageusia	0
Ageusia	0
Ageusia	0
Angiogram	1
Angiogram pulmonary abnormal	0
Anosmia	0
Anosmia	0
Antibody test	1
Anticoagulant therapy	1
Anticoagulant therapy	1
Anticoagulant therapy	1
Anxiety	0
Atrial fibrillation	0
Atrial fibrillation	0
Axillary pain	0
Bell's palsy	0
Bell's palsy	0
Blood glucose	1
Blood pressure increased	0
Blood pressure measurement	1
Blood pressure measurement	1
Blood test	1
Blood test	1
Body temperature	1
Body temperature	1
Breast pain	0
Cerebrovascular accident	0
Cerebrovascular accident	0
Chest discomfort	0
Chest pain	0
Chest X-ray	1
Chest X-ray	1
Chills	0
Chills	0
Cold sweat	0
Computerised tomogram	1
Computerised tomogram	1
Computerised tomogram head	1
Computerised tomogram head abnormal	0
Computerised tomogram head normal	1
Computerised tomogram thorax	1
Computerised tomogram thorax	1
Computerised tomogram thorax abnormal	0
Computerised tomogram thorax abnormal	0
Contusion	0
COVID-19	1
COVID-19	1
COVID-19 pneumonia	1
COVID-19 pneumonia	1
Deafness	0
Death	0
Deep vein thrombosis	0
Deep vein thrombosis	0
Disorientation	0
Dysgeusia	0
Dysmenorrhoea	0
Dysmenorrhoea	0
Dyspnoea exertional	0
Ear discomfort	0
Echocardiogram	1
Echocardiogram abnormal	0
Echocardiogram normal	1
Electrocardiogram	1
Electrocardiogram	1
Electrocardiogram abnormal	0
Electrocardiogram normal	1
Endotracheal intubation	1
Epistaxis	0
Expired product administered	1
Exposure to SARS-CoV-2	1
Eye pain	0
Facial paralysis	0
Facial paralysis	0
Fatigue	0
Fatigue	0
Feeling abnormal	0
Feeling cold	0
Feeling of body temperature change	0
Fibrin D dimer	1
Fibrin D dimer	1
Fibrin D dimer increased	0
Fibrin D dimer increased	0
Flushing	0
Gait inability	0
Gait inability	0
Head discomfort	0
Head discomfort	0
Head injury	0
Headache	0
Heart rate	1
Heart rate	1
Heart rate decreased	0
Heart rate increased	0
Heart rate irregular	0
Heavy menstrual bleeding	0
Heavy menstrual bleeding	0
Hot flush	0
Hot flush	0
Hyperhidrosis	0
Hypoacusis	0
Hypoaesthesia oral	0
Hypoxia	0
Illness	1
Illness	1
Immunisation	1
Impaired work ability	0
Impaired work ability	0
Inappropriate schedule of product administration	1
Incorrect product formulation administered	1
Injection site pruritus	0
Injection site rash	0
Interchange of vaccine products	1
Intermenstrual bleeding	0
Investigation	1
Laboratory test	1
Limb discomfort	0
Loss of consciousness	0
Loss of personal independence in daily activities	1
Lung opacity	1
Lymph node pain	0
Lymphadenopathy	0
Magnetic resonance imaging	1
Magnetic resonance imaging	1
Magnetic resonance imaging head	1
Magnetic resonance imaging head	1
Magnetic resonance imaging head abnormal	0
Magnetic resonance imaging head normal	1
Magnetic resonance imaging normal	1
Maternal exposure during pregnancy	1
Menstrual disorder	0
Menstrual disorder	0
Menstruation irregular	0
Menstruation irregular	0
Metabolic function test	1
Migraine	0
Migraine	0
Muscle spasms	0
Muscle tightness	0
Muscle tightness	0
Myocardial infarction	0
Myocardial infarction	0
Myocarditis	0
Nervousness	0
Night sweats	0
Off label use	1
Off label use	1
Oropharyngeal discomfort	0
Oropharyngeal pain	0
Oxygen saturation	1
Oxygen saturation decreased	0
Palpitations	0
Panic attack	0
Panic attack	0
Paraesthesia oral	0
Parosmia	0
Parosmia	0
Pericarditis	0
Peripheral swelling	0
Pharyngeal swelling	0
Pharyngeal swelling	0
Platelet count	1
Platelet count normal	1
Poor quality product administered	1
Poor quality product administered	1
Product administered to patient of inappropriate age	1
Product administered to patient of inappropriate age	1
Product dose omission issue	1
Product preparation error	1
Product preparation issue	1
Product temperature excursion issue	1
Pulmonary embolism	0
Pulmonary embolism	0
Pulmonary thrombosis	0
Rash pruritic	0
Respiratory tract congestion	0
SARS-CoV-2 antibody test	1
SARS-CoV-2 antibody test	1
SARS-CoV-2 test	1
SARS-CoV-2 test negative	1
SARS-CoV-2 test negative	1
SARS-CoV-2 test positive	1
SARS-CoV-2 test positive	1
Seizure	0
Seizure	0
Sensitive skin	0
Sensory disturbance	0
Sinus congestion	0
Sleep disorder	0
Suspected COVID-19	1
Swollen tongue	0
Taste disorder	0
Taste disorder	0
Taste disorder	0
Therapy non-responder	1
Thirst	0
Throat irritation	0
Throat tightness	0
Thrombosis	0
Thrombosis	0
Tinnitus	0
Troponin	1
Troponin increased	0
Ultrasound Doppler	1
Ultrasound Doppler	1
Ultrasound Doppler abnormal	0
Ultrasound scan	1
Ultrasound scan abnormal	0
Unresponsive to stimuli	0
Vaccination complication	0
Vaccination failure	1
Vaccination site erythema	0
Vaccination site induration	0
Vaccination site mass	0
Vaccination site pain	0
Vaccination site pain	0
Vaccination site pruritus	0
Vaccination site rash	0
Vaccination site reaction	0
Vaccination site swelling	0
Vaccination site warmth	0
Vaccine breakthrough infection	1
Vaccine breakthrough infection	1
Vaginal haemorrhage	0
Vertigo	0
Vision blurred	0
Visual impairment	0
Vital signs measurement	1
