AE_Terms	Flag	SubgroupDescription
Accidental overdose	1	Administrative
Accidental underdose	1	Administrative
Circumstance or information capable of leading to medication error	1	Administrative
Discontinued product administered	1	Administrative
Expired product administered	1	Administrative
Extra dose administered	1	Administrative
Inappropriate schedule of product administration	1	Administrative
Incorrect dose administered	1	Administrative
Incorrect product formulation administered	1	Administrative
Insurance issue	1	Administrative
Interchange of vaccine products	1	Administrative
Poor quality product administered	1	Administrative
Product administered to patient of inappropriate age	1	Administrative
Product administration error	1	Administrative
Product dose omission issue	1	Administrative
Product preparation error	1	Administrative
Product preparation issue	1	Administrative
Product storage error	1	Administrative
Product temperature excursion issue	1	Administrative
Syringe issue	1	Administrative
Underdose	1	Administrative
Vaccination error	1	Administrative
Wrong product administered	1	Administrative
Asymptomatic COVID-19	1	Not Relevant
Breakthrough COVID-19	1	Not Relevant
COVID-19	1	Not Relevant
COVID-19 immunisation	1	Not Relevant
COVID-19 pneumonia	1	Not Relevant
Drug ineffective	1	Not relevant
Exposure to SARS-CoV-2	1	Not Relevant
Immunisation	1	Not Relevant
Investigation	1	Not Relevant
Maternal exposure during pregnancy	1	Not relevant
Miosis	1	Not relevant
No adverse event	1	Not Relevant
Off label use	1	Not Relevant
Suspected COVID-19	1	Not Relevant
Therapy non-responder	1	Not relevant
Vaccine breakthrough infection	1	Not Relevant
Acoustic stimulation tests	1	Test
Angiocardiogram	1	Test
Angiogram	1	Test
Anion gap	1	Test
Antibody test	1	Test
Antinuclear antibody	1	Test
Biopsy	1	Test
Biopsy colon abnormal	1	Test
Biopsy rectum	1	Test
Blood alkaline phosphatase normal	1	Test
Blood chloride normal	1	Test
Blood creatinine	1	Test
Blood creatinine normal	1	Test
Blood culture negative	1	Test
Blood glucose	1	Test
Blood lactic acid	1	Test
Blood phosphorus normal	1	Test
Blood potassium normal	1	Test
Blood pressure measurement	1	Test
Blood sodium normal	1	Test
Blood test	1	Test
Blood test abnormal	1	Test
Blood test normal	1	Test
Blood testosterone	1	Test
Blood thyroid stimulating hormone normal	1	Test
Body temperature	1	Test
Cardiac monitoring	1	Test
Cardiac stress test	1	Test
CHA2DS2-VASc-score	1	Test
Chest X-ray	1	Test
Chest X-ray abnormal	1	Test
Chest X-ray normal	1	Test
Computerised tomogram	1	Test
Computerised tomogram abdomen	1	Test
Computerised tomogram head	1	Test
Computerised tomogram head normal	1	Test
Computerised tomogram thorax	1	Test
C-reactive protein	1	Test
Cytokine test	1	Test
Differential white blood cell count	1	Test
Echocardiogram	1	Test
Echocardiogram normal	1	Test
Electrocardiogram	1	Test
Electrocardiogram normal	1	Test
Electromyogram	1	Test
Fibrin D dimer	1	Test
Full blood count	1	Test
Glomerular filtration rate normal	1	Test
